period,respondent,respondent-name,type,type-name,value,value-units
2023-01-13T20,CISO,California Independent System Operator,D,Demand,25451,megawatthours
2023-01-13T21,CISO,California Independent System Operator,D,Demand,25505,megawatthours
2023-01-13T22,CISO,California Independent System Operator,D,Demand,25548,megawatthours
2023-01-13T23,CISO,California Independent System Operator,D,Demand,24673,megawatthours
2023-01-14T00,CISO,California Independent System Operator,D,Demand,24288,megawatthours
2023-01-14T01,CISO,California Independent System Operator,D,Demand,24376,megawatthours
2023-01-14T02,CISO,California Independent System Operator,D,Demand,25253,megawatthours
2023-01-14T03,CISO,California Independent System Operator,D,Demand,27112,megawatthours
2023-01-14T04,CISO,California Independent System Operator,D,Demand,26910,megawatthours
2023-01-14T05,CISO,California Independent System Operator,D,Demand,26400,megawatthours
2023-01-14T06,CISO,California Independent System Operator,D,Demand,25703,megawatthours
2023-01-14T07,CISO,California Independent System Operator,D,Demand,25058,megawatthours
2023-01-14T08,CISO,California Independent System Operator,D,Demand,23704,megawatthours
2023-01-14T09,CISO,California Independent System Operator,D,Demand,22239,megawatthours
2023-01-14T10,CISO,California Independent System Operator,D,Demand,21662,megawatthours
2023-01-14T11,CISO,California Independent System Operator,D,Demand,21039,megawatthours
2023-01-14T12,CISO,California Independent System Operator,D,Demand,20473,megawatthours
2023-01-14T13,CISO,California Independent System Operator,D,Demand,20195,megawatthours
2023-01-14T14,CISO,California Independent System Operator,D,Demand,20159,megawatthours
2023-01-14T15,CISO,California Independent System Operator,D,Demand,20620,megawatthours
2023-01-14T16,CISO,California Independent System Operator,D,Demand,21592,megawatthours
2023-01-14T17,CISO,California Independent System Operator,D,Demand,22032,megawatthours
2023-01-14T18,CISO,California Independent System Operator,D,Demand,22921,megawatthours
2023-01-14T19,CISO,California Independent System Operator,D,Demand,23779,megawatthours
2023-01-14T20,CISO,California Independent System Operator,D,Demand,24211,megawatthours
2023-01-14T21,CISO,California Independent System Operator,D,Demand,24181,megawatthours
2023-01-14T22,CISO,California Independent System Operator,D,Demand,24230,megawatthours
2023-01-14T23,CISO,California Independent System Operator,D,Demand,24672,megawatthours
2023-01-15T00,CISO,California Independent System Operator,D,Demand,24815,megawatthours
2023-01-15T01,CISO,California Independent System Operator,D,Demand,25084,megawatthours
2023-01-15T02,CISO,California Independent System Operator,D,Demand,25467,megawatthours
2023-01-15T03,CISO,California Independent System Operator,D,Demand,26613,megawatthours
2023-01-15T04,CISO,California Independent System Operator,D,Demand,26265,megawatthours
2023-01-15T05,CISO,California Independent System Operator,D,Demand,26069,megawatthours
2023-01-15T06,CISO,California Independent System Operator,D,Demand,25374,megawatthours
2023-01-15T07,CISO,California Independent System Operator,D,Demand,24508,megawatthours
2023-01-15T08,CISO,California Independent System Operator,D,Demand,23456,megawatthours
2023-01-15T09,CISO,California Independent System Operator,D,Demand,22189,megawatthours
2023-01-15T10,CISO,California Independent System Operator,D,Demand,21152,megawatthours
2023-01-15T11,CISO,California Independent System Operator,D,Demand,20643,megawatthours
2023-01-15T12,CISO,California Independent System Operator,D,Demand,20379,megawatthours
2023-01-15T13,CISO,California Independent System Operator,D,Demand,19899,megawatthours
2023-01-15T14,CISO,California Independent System Operator,D,Demand,20032,megawatthours
2023-01-15T15,CISO,California Independent System Operator,D,Demand,20395,megawatthours
2023-01-15T16,CISO,California Independent System Operator,D,Demand,21132,megawatthours
2023-01-15T17,CISO,California Independent System Operator,D,Demand,21351,megawatthours
2023-01-15T18,CISO,California Independent System Operator,D,Demand,22089,megawatthours
2023-01-15T19,CISO,California Independent System Operator,D,Demand,22567,megawatthours
2023-01-15T20,CISO,California Independent System Operator,D,Demand,22873,megawatthours
2023-01-15T21,CISO,California Independent System Operator,D,Demand,22709,megawatthours
2023-01-15T22,CISO,California Independent System Operator,D,Demand,22679,megawatthours
2023-01-15T23,CISO,California Independent System Operator,D,Demand,22978,megawatthours
2023-01-16T00,CISO,California Independent System Operator,D,Demand,23741,megawatthours
