datetime,Actual Demand,SARIMA Forecast,Prophet Forecast,Hybrid Forecast
2023-11-13 01:00:00,21990.0,25654.75743176269,17088.121638223773,23084.76669370101
2023-11-13 02:00:00,24036.0,27205.959533517645,18581.11226508615,24618.505352988195
2023-11-13 03:00:00,25635.0,28076.24674251622,19960.72034148341,25641.58882220638
2023-11-13 04:00:00,25381.0,27703.590286755185,20744.72263380412,25615.929990869863
2023-11-13 05:00:00,24800.0,26841.004251641312,20610.862742219248,24971.961798814693
2023-11-13 06:00:00,24276.0,25997.902614683542,19625.8976474403,24086.30112451057
2023-11-13 07:00:00,23532.0,24587.662978942448,18205.06190598245,22672.882657054448
2023-11-13 08:00:00,22389.0,23211.40865412707,16825.409977561907,21295.60905115752
2023-11-13 09:00:00,21127.0,22392.79014543877,15739.923431907908,20396.930131379508
2023-11-13 10:00:00,20977.0,21660.818114979487,14931.744710598898,19642.09609366531
2023-11-13 11:00:00,20482.0,21205.53402478896,14313.735657646586,19137.99451464625
2023-11-13 12:00:00,20153.0,20942.799419187657,13944.939559107735,18843.44146116368
2023-11-13 13:00:00,19913.0,21002.499098500062,14030.30048831678,18910.83951544508
2023-11-13 14:00:00,20184.0,21651.629141917365,14696.893827402097,19565.208547562783
2023-11-13 15:00:00,21683.0,23189.2957248842,15774.263094028312,20964.785935627428
2023-11-13 16:00:00,23645.0,24223.388919464254,16816.352876010886,22001.278106428246
2023-11-13 17:00:00,23999.0,24711.352056587373,17377.005328680105,22511.048038215195
2023-11-13 18:00:00,23817.0,24633.00835513001,17309.73443768151,22436.02617989546
2023-11-13 19:00:00,24173.0,23803.88697612748,16838.685462313122,21714.326521983174
2023-11-13 20:00:00,23870.0,23066.379723828675,16359.850478853048,21054.420950335985
2023-11-13 21:00:00,23808.0,22785.0270548675,16169.601916164713,20800.399513256663
2023-11-13 22:00:00,23536.0,22785.07653859548,16353.719761690983,20855.669505524125
2023-11-13 23:00:00,22745.0,23190.345672128067,16883.03270879046,21298.151783126785
2023-11-14 00:00:00,23033.0,24231.188073234225,17751.12464978522,22287.169046199524
2023-11-14 01:00:00,24705.0,25654.779161508788,18969.663279446424,23649.24439689008
2023-11-14 02:00:00,26144.0,27205.980416546277,20420.106190921204,25170.218148858752
2023-11-14 03:00:00,27276.0,28076.26682400047,21747.757105140317,26177.713908342423
2023-11-14 04:00:00,27266.0,27703.60961124736,22471.120730996052,26133.86294717197
2023-11-14 05:00:00,26831.0,26841.02283312356,22268.729474640382,25469.334825578608
2023-11-14 06:00:00,26315.0,25997.92048764448,21208.181089028487,24560.99866805968
2023-11-14 07:00:00,25175.0,24587.680178567294,19705.593520739327,23123.054181218904
2023-11-14 08:00:00,23673.0,23211.42520878048,18238.93754695898,21719.678910234023
2023-11-14 09:00:00,22445.0,22392.806064102268,17062.134062535246,20793.60446363216
2023-11-14 10:00:00,21625.0,21660.833430446797,16159.277807466768,20010.366743552782
2023-11-14 11:00:00,21362.0,21205.54874659594,15444.185863538249,19477.13988167863
2023-11-14 12:00:00,21203.0,20942.81355301748,14976.84977458141,19153.024419486657
2023-11-14 13:00:00,20993.0,21002.512667435287,14963.145199723547,19190.702427121763
2023-11-14 14:00:00,20748.0,21651.64218351875,15531.053077729232,19815.465451781893
2023-11-14 15:00:00,21947.0,23189.308198384075,16510.987536557484,21185.811999836096
2023-11-14 16:00:00,23897.0,24223.400862041995,17457.72044718142,22193.69673758382
2023-11-14 17:00:00,24735.0,24711.363577301257,17925.8701677463,22675.71555443477
2023-11-14 18:00:00,24805.0,24633.019461949523,17769.66876345374,22574.014252400782
